text,label
I love this movie!,1
The product is amazing.,1
Great service and friendly staff.,1
I am so happy with the purchase.,1
The book is fantastic.,1
I hate this!,0
The experience was terrible.,0
Such a waste of money.,0
I will never buy this again.,0
The quality is horrible.,0
This is the best day ever!,1
Amazing performance by the artist.,1
I am extremely satisfied.,1
The taste is incredible.,1
Top-notch quality product.,1
I am really disappointed.,0
The movie was so boring.,0
Worst customer service ever.,0
Not worth the hype.,0
I regret buying this.,0
